State Code,State,Abbrevation,Region,percapita,Percapita2010
1,Alabama,AL,south,30894,33945
54,alaska,AK,west,38138,44174
2,Arizona,AZ,west,31936,34999
3,Arkansas,AR,south,28473,33150
8,DC,DC,south,57746,71044
9,Florida,FL,south,36720,39272
10,Georgia,GA,south,32095,35490
52,Hawaii,HI,west,37023,41021
15,Kansas,KS,midwest,34799,39737
17,Louisiana,LA,south,31821,38446
24,Missouri,MO,midwest,32789,36979
27,Nevada,NV,west,38994,36997
30,New Mexico,NM,west,29929,33837
32,North Carolina,NC,south,32247,35638
34,Ohio,OH,midwest,33320,36421
36,Oregon,OR,west,33299,37095
39,South Carolina,SC,south,29767,33163
41,Tennessee,TN,south,32172,35307
42,Texas,TX,south,35166,39493
46,Washington,WA,west,38212,43564
