State Code,State,Abbrevation,Region,Population,population2010
1,Alabama,AL,south,4530182,4779735
54,Alaska,AK,west,655435,710231
2,Arizona,AZ,west,5743834,6329013
3,Arkansas,AR,south,2752629,2915921
8,DC,DC,south,553523,601723
9,Florida,FL,south,17397161,18801311
10,Georgia,GA,south,8829383,9687653
52,Hawaii,HI,west,1262840,1360301
15,Kansas,KS,midwest,2735502,2853118
17,Louisiana,LA,south,4515770,4533372
24,Missouri,MO,midwest,5754618,5988927
27,Nevada,NV,west,2334771,2700551
30,New Mexico,NM,west,1903289,2059180
32,North Carolina,NC,south,8541221,9535475
34,Ohio,OH,midwest,11459011,11536502
36,Oregon,OR,west,3594586,3831074
39,South Carolina,SC,south,4198068,4625364
41,Tennessee,TN,south,5900962,6346110
42,Texas,TX,south,22490022,25145561
46,Washington,WA,west,6203788,6724540
