date,close
05/01/1988,13.9171
04/30/1989,16.2255
04/27/1990,17.5035
04/26/1991,22.7424
04/25/1992,25.9181
04/24/1993,30.4933
04/23/1994,31.3737
04/20/1995,32.4271
04/19/1996,35.4332
04/18/1997,36.3133
04/17/1998,41.2594
04/16/1999,43.0554
04/13/2000,44.9416
04/12/2001,47.1864
04/11/2002,48.6103
04/10/2003,46.5833
04/09/2004,45.3165
04/05/2005,44.1000
04/04/2006,45.3070
04/03/2007,41.3485
04/02/2008,43.5052
03/30/2009,48.4053
03/29/2010,45.7258
03/28/2011,46.6705
03/27/2012,53.4372
03/26/2013,58.5978
